275	64	515	6.000	79.34	476.04	2025-11-21 13:24:50.685256	69
464	66	87	5.000	69.76	348.80	2025-11-22 10:07:48.552741	78
465	66	128	43.000	54.50	2343.50	2025-11-22 10:07:48.552741	78
471	70	244	20.000	43.63	872.60	2025-11-26 13:05:56.354425	66
472	70	126	6.000	134.57	807.42	2025-11-26 13:05:56.354425	78
527	73	1490	2.000	58.85	117.70	2025-11-26 16:27:24.694078	67
528	73	568	6.000	52.29	313.74	2025-11-26 16:27:24.694078	67
529	73	1504	1.000	188.29	188.29	2025-11-26 16:27:24.694078	67
530	73	1508	1.000	148.29	148.29	2025-11-26 16:27:24.694078	67
531	73	1507	3.000	88.29	264.87	2025-11-26 16:27:24.694078	67
532	73	635	1.000	43.29	43.29	2025-11-26 16:27:24.694078	67
533	73	594	5.000	69.17	345.85	2025-11-26 16:27:24.694078	67
534	73	586	4.000	102.64	410.56	2025-11-26 16:27:24.694078	67
535	73	1514	4.000	78.29	313.16	2025-11-26 16:27:24.694078	67
536	73	591	7.000	48.56	339.92	2025-11-26 16:27:24.694078	67
537	73	366	5.000	102.23	511.15	2025-11-26 16:27:24.694078	66
563	77	153	10.000	328.97	3289.70	2025-11-26 17:09:06.142092	76
566	80	244	20.000	43.63	872.60	2025-11-27 06:03:56.112595	66
567	80	126	6.000	134.57	807.42	2025-11-27 06:03:56.112595	78
1762	228	514	5.000	241.60	1208.00	2026-01-08 10:52:00.083888	137
584	85	139	200.000	116.41	23282.00	2025-11-27 10:02:47.055865	82
585	85	58	120.000	79.73	9567.60	2025-11-27 10:02:47.055865	82
1763	228	515	20.000	80.25	1605.00	2026-01-08 10:52:00.083888	137
620	91	244	20.000	43.63	872.60	2025-11-28 09:16:20.832014	83
647	93	472	4.000	429.60	1718.40	2025-11-29 07:08:56.491578	83
648	93	1891	2.000	94.78	189.56	2025-11-29 07:08:56.491578	83
649	93	477	23.000	44.97	1034.31	2025-11-29 07:08:56.491578	83
650	93	481	21.000	54.79	1150.59	2025-11-29 07:08:56.491578	83
651	93	484	5.000	49.80	249.00	2025-11-29 07:08:56.491578	83
652	93	877	1.000	109.70	109.70	2025-11-29 07:08:56.491578	83
653	93	502	1.000	74.46	74.46	2025-11-29 07:08:56.491578	83
654	93	879	1.000	157.87	157.87	2025-11-29 07:08:56.491578	83
655	93	804	3.000	89.49	268.47	2025-11-29 07:08:56.491578	85
656	93	240	4.000	89.46	357.84	2025-11-29 07:08:56.491578	85
657	93	241	4.000	54.91	219.64	2025-11-29 07:08:56.491578	85
658	93	1812	5.000	69.61	348.05	2025-11-29 07:08:56.491578	85
659	93	249	6.000	86.16	516.96	2025-11-29 07:08:56.491578	85
660	93	814	3.000	89.58	268.74	2025-11-29 07:08:56.491578	85
661	93	815	1.000	78.58	78.58	2025-11-29 07:08:56.491578	85
662	93	1861	2.000	168.57	337.14	2025-11-29 07:08:56.491578	85
663	93	266	7.000	39.14	273.98	2025-11-29 07:08:56.491578	85
664	93	1985	2.000	52.01	104.02	2025-11-29 07:08:56.491578	85
665	93	1600	1.000	111.55	111.55	2025-11-29 07:08:56.491578	85
666	93	1602	25.000	71.47	1786.75	2025-11-29 07:08:56.491578	85
667	93	1605	5.000	141.16	705.80	2025-11-29 07:08:56.491578	85
668	93	724	26.000	56.23	1461.98	2025-11-29 07:08:56.491578	85
669	93	172	3.000	106.01	318.03	2025-11-29 07:08:56.491578	85
670	93	731	3.000	94.41	283.23	2025-11-29 07:08:56.491578	85
671	93	1626	2.000	157.96	315.92	2025-11-29 07:08:56.491578	85
672	93	1627	3.000	151.53	454.59	2025-11-29 07:08:56.491578	85
673	93	1636	1.000	143.08	143.08	2025-11-29 07:08:56.491578	85
674	93	1638	4.000	86.16	344.64	2025-11-29 07:08:56.491578	85
675	93	1649	1.000	76.37	76.37	2025-11-29 07:08:56.491578	85
676	93	206	6.000	97.72	586.32	2025-11-29 07:08:56.491578	85
677	93	218	2.000	181.40	362.80	2025-11-29 07:08:56.491578	85
678	93	758	3.000	56.86	170.58	2025-11-29 07:08:56.491578	85
679	93	227	4.000	67.04	268.16	2025-11-29 07:08:56.491578	85
680	93	1732	3.000	52.67	158.01	2025-11-29 07:08:56.491578	85
681	93	234	6.000	51.00	306.00	2025-11-29 07:08:56.491578	85
682	93	765	1.000	83.08	83.08	2025-11-29 07:08:56.491578	85
683	93	58	4.000	79.80	319.20	2025-11-29 07:08:56.491578	82
684	93	85	4.000	75.14	300.56	2025-11-29 07:08:56.491578	82
459	68	87	10.000	69.76	697.60	2025-11-22 07:48:05.513161	78
